PC_1,PC_2
-9851.40032428302,-23062.02749923656
-9839.990351353215,-13105.194631342703
-8845.741699378328,-15853.75800372048
-8707.087705056492,-23329.79173992492
-9327.154155991675,-23248.66796472332
-8852.93445140608,-23707.039847526587
-9840.32340466614,-19023.064291195584
-9175.93198959185,-9682.304185179926
-5882.566595375219,-17220.363874413408
-8600.869833195104,-14779.560834833064
-9322.223648937384,-23804.19087970099
-9815.768720810242,-5952.5071410034225
-9980.708166908691,50344.49552108836
-9852.73517812243,-13458.454967331623
-9817.076407857758,-22649.264745490847
-9811.478791785245,-22024.9927462515
-9534.566042314356,-23538.823373217783
-9603.44516753797,-23573.399922449487
-9921.148808307427,990.5592963382334
-9842.007680939554,-23080.330644073558
-9673.00928224715,-23001.37132181251
-9573.819359503765,-23185.109200148516
-8655.45482032098,-21721.33058280986
-9905.079810960398,-5846.419054124693
-9852.217991389649,-18812.210110681222
-9855.333754592557,-21723.316104585298
-9753.457169789368,-22900.174024918513
-9845.145696409527,-22131.965781204653
-9855.730027315078,-23284.70186747667
-9505.820928270454,-14131.781631977543
-9230.789507808451,-23074.563748883505
-9381.552698274734,-23474.84647619626
-9804.83770680091,-12169.508258093016
-9490.219009432589,-23333.544094012374
-9844.475649151902,-21143.733582059052
-9756.41406047705,-22894.703776873845
-9157.705661477512,-22446.5655215065
-9366.173784359642,-7117.387021589317
-9871.54582294197,-15433.89501561972
-9495.983171348455,-22924.760539439543
-9757.141617630503,-22912.667837499226
-9762.865927607332,-23424.56260574611
-9603.257934860567,-23743.66109195721
-9667.372996077553,510.3532075947509
-9852.896394140016,-22811.196412614445
-9858.362665414028,-22815.803381629816
-9580.453640803185,-18708.81571367505
-9861.772947579657,-17676.38057859106
-9753.324076882056,-23116.413789042366
-9559.3637267121,-22965.496769158897
-9792.94199074618,-23380.387929496927
-9182.838850184186,-23911.969599715863
-9859.208444374142,-21134.373627855566
-9736.605276279983,-20934.69270845678
-9855.7046783161,-22718.75872409514
-9847.449039864274,-22885.054555363502
-9804.312828322727,-23019.926029899885
-9839.702897593852,-23321.437815936384
-9561.64219816212,-23210.918100271294
-8206.392356187233,-22311.372683170954
-9854.868460032621,-23005.32363336368
-9782.419193200056,-17830.31451780077
-6253.962866611362,-21950.82336810252
-9055.348760127754,-23552.78139344389
-9750.397743662419,-22632.18584247521
-7019.7204615430355,-12963.834802582507
-9750.088481450972,-18194.192590551032
-9857.986279039747,-22443.833496244035
-9860.590059727294,-22543.62028215794
-9813.275317609401,-23832.79804978438
-9605.539544579373,-15390.780406110676
-9839.508942612696,-22949.97890699363
-8276.352772009015,-15961.189311793052
-9724.493500806006,-23613.522252458835
-9773.262393958812,-22916.968025990107
-9752.75371145382,-7018.143556801183
-9582.110361716866,-23880.297993107924
-9903.949628752569,-3658.589285879939
-8535.564254880219,-23116.97651098792
-9683.785217528672,-23348.255055845177
-8307.338470531276,-8885.768832507563
-9703.633367413804,-22928.10569565199
-9817.690575527504,-22305.964076786797
-8958.042026352181,-22594.48980446235
-9800.30344639158,-23042.8329838378
-9716.359679570838,-23518.26476605376
-9838.005594037195,-22943.52012998407
-9707.535857989194,-1595.4180870559446
-9614.040812067611,-21463.24000828409
-9851.307794776643,-22381.017976946092
-10055.223940811133,58925.34196901959
-9384.031246901068,-21482.83835661202
-9729.668479917076,-23505.92994352994
-9813.256668228101,-22760.96670998848
-9867.622791913533,-8600.487277600276
-9804.476664731796,-23049.573744120335
-9744.051616361914,-23519.811390982264
-9669.7891422685,-23155.31570966817
-9609.34659805312,-13076.674963573923
-9858.816816645547,-18863.291869367247
-9862.951070622423,20854.435514309764
-9689.47231308631,-23431.62088209964
-9387.750003715895,-23650.41005012292
-7871.671034161178,-23815.72350132479
-8858.114734164297,-23814.312836604327
-9856.48744525365,-23074.564298452235
-9603.54300348104,-22668.65144089431
-9806.49731911009,-23062.18967380515
-9730.81028414075,-23545.65980209444
-9418.970094580924,-17890.187093574812
-9537.838320821713,-20123.074292062865
-9784.681726851126,-22912.835056471682
-9824.184552262706,-23289.846596233318
-9758.441676226394,-23280.822194875804
-9836.19097572713,-22788.412911365376
-9856.13629021937,-22374.071959785397
-9171.372364548452,-21056.222205935173
-9435.510972002443,-21915.036894577603
-9780.387286586616,-22748.678094551204
-9897.64817564165,1453.7479392084115
-9856.375737075487,-20332.259131950195
-9800.982657527438,-23667.136329863
-9758.276265517827,-23186.025479924905
-9824.786672089425,-22494.63517555843
-9911.648376379702,-3225.0536072410964
-9853.191511637337,-22364.692715059835
-9835.96851143718,-23124.641218448858
-9861.801600583312,-22312.537436738403
-9906.171808789248,-1097.7110707900392
-9870.590573191921,-8756.764088741627
-9815.741514888212,-22289.26801613918
-9791.933653043172,-18203.332500270622
-9811.484689966032,-22776.44848461655
-9442.319480252545,-23620.524606789873
-9764.583875614848,9069.78860447917
-9225.517866492493,-23153.434755644754
-9580.98054111705,-22782.061207260467
-9824.203223351476,-23095.90940625447
-9765.256171353394,-23367.265913785195
-9873.013571146841,-16506.674576094934
-8876.784985122938,-22918.813267319936
-9838.619571735939,-22093.466638739763
-9857.759532360822,-20292.756333822446
-9680.182107275123,-23234.25060697455
-9256.854378218904,-23543.996212973376
-9845.531752759263,-22164.80323523577
-9627.610486581116,-23448.603412500266
-9894.608559110831,18510.786153068966
-9863.440472752902,-16511.514124853562
-9709.37376688637,-23181.246966074385
-9812.99662871873,-23583.960098990367
-9824.14465601514,-22527.63343468165
-9846.653060803463,-22687.85545581668
-9852.269128061256,-23499.388043702616
-8777.281473084473,-23531.73430302663
-9846.970152984533,-22736.856268731262
-9473.806923889353,-23636.778731097846
-9797.57167029241,-22682.270493516287
-9629.524915005137,-23637.41700725795
-9866.005629280286,-20800.519784068598
-9554.587540668488,970.1477172312275
-9769.607774054817,13552.75075092923
-9810.278249158317,-20900.949999251305
-9689.561002798044,-23428.760938615498
-9841.939766249723,-22554.917870425368
-9636.558669941345,-23420.54353460169
-9851.01805042114,-22605.467789140534
-9854.000454692252,-23179.977481062637
-9857.28742222251,-23171.543455906947
-7968.271824565683,-22108.146425011866
-9817.83332582286,-7884.606160490744
-9599.304141929055,-17023.216329348867
-9688.735013610596,-22999.582761241727
-9712.28939122103,-14866.652742280505
-9878.27094044213,-15980.286130277244
-9603.955451927,-17002.460561334025
-9687.401325958923,-23213.45372290991
-9854.798030999118,-22995.421476768406
-9568.064687462944,-23683.589071427963
-9454.197737075034,-11072.496244346175
-9834.906233002936,-21346.47045756867
-8650.346939832369,-9649.553382955004
-9852.097874401923,-22040.89448799032
